Name,Cuisine,M_Distinction_24,M_Distinction_23,M_Distinction_22,Price,Y_Rating_Value,Y_Review_Count,Y_Selected_Review,Address
Alain Ducasse at The Dorchester,French,3,3,3,££££ · Spare no expense,3.9,100,9,"Park Lane, Mayfair, London, W1K 1QA, United Kingdom"
CORE by Clare Smyth,Modern British,3,3,3,££££ · Spare no expense,4.6,30,9,"92 Kensington Park Road, North Kensington, London, W11 2PN, United Kingdom"
Hélène Darroze at The Connaught,Modern Cuisine,3,3,3,££££ · Spare no expense,3.9,41,7,"Carlos Place, Mayfair, London, W1K 2AL, United Kingdom"
Restaurant Gordon Ramsay,French,3,3,3,££££ · Spare no expense,4.4,248,22,"68-69 Royal Hospital Road, Chelsea, London, SW3 4HP, United Kingdom"
"Sketch, The Lecture Room & Library",Modern French,3,3,3,££££ · Spare no expense,4,1047,121,"9 Conduit Street, Mayfair, London, W1S 2XG, United Kingdom"
The Ledbury,Modern Cuisine,3,2,2,££££ · Spare no expense,4.6,175,7,"127 Ledbury Road, North Kensington, London, W11 2AQ, United Kingdom"
A.Wong,Chinese,2,2,2,££££ · Spare no expense,4,66,7,"70 Wilton Road, Victoria, London, SW1V 1DE, United Kingdom"
Alex Dilling at Hotel Café Royal,Modern French,2,2,0,££££ · Spare no expense,3,2,,"68 Regent Street, Soho, London, W1B 4DY, United Kingdom"
Brooklands,Modern Cuisine,2,0,0,££££ · Spare no expense,5,1,,"1 Grosvenor Place, Belgravia, London, SW1X 7HJ, United Kingdom"
Claude Bosi at Bibendum,French,2,2,2,££££ · Spare no expense,3.9,73,9,"Michelin House, 81 Fulham Road, Chelsea, London, SW3 6RD, United Kingdom"
Da Terra,Creative,2,2,2,££££ · Spare no expense,5,5,,"8 Patriot Square, Tower Hamlets, London, E2 9NF, United Kingdom"
Dinner by Heston Blumenthal,Traditional British,2,2,2,££££ · Spare no expense,4.4,312,20,"66 Knightsbridge, Hyde Park and Knightsbridge, London, SW1X 7LA, United Kingdom"
Gymkhana,Indian,2,1,1,££££ · Spare no expense,4.3,212,48,"42 Albemarle Street, Mayfair, London, W1S 4JH, United Kingdom"
Ikoyi,Creative,2,2,2,££££ · Spare no expense,4.6,23,,"180 Strand, Strand and Covent Garden, London, WC2R 1EA, United Kingdom"
Kitchen Table,Modern Cuisine,2,2,2,££££ · Spare no expense,4.8,41,5,"70 Charlotte Street, Bloomsbury, London, W1T 4QG, United Kingdom"
La Dame de Pic London,"Modern French, French Contemporary",2,2,2,££££ · Spare no expense,4.7,7,,"10 Trinity Square, City of London, London, EC3N 4AJ, United Kingdom"
Le Gavroche,French,2,2,2,££££ · Spare no expense,4.3,65,3,"43 Upper Brook St, London W1K 7QR"
Story,Modern Cuisine,2,2,2,££££ · Spare no expense,4.5,43,1,"199 Tooley Street, Southwark, London, SE1 2JX, United Kingdom"
