Name,Cuisine,Michelin_Distinction,Price,Y_Rating_Value,Y_Review_Count,Y_Selected_Review,Address
Bancone,Italian,Bib,££ · A moderate spend,4.2,52,29,"39 William IV Street, Strand and Covent Garden, London, WC2N 4DD, United Kingdom"
Palomar,Middle Eastern,Bib,££ · A moderate spend,4.7,136,19,"34 Rupert Street, Soho, London, W1D 6DN, United Kingdom"
Kricket,Indian,Bib,££ · A moderate spend,4.4,53,17,"12 Denman Street, Soho, London, W1D 7HH, United Kingdom"
Kiln,"Thai, South East Asian",Bib,££ · A moderate spend,4.3,86,19,"58 Brewer Street, Soho, London, W1F 9TL, United Kingdom"
Paradise,"Sri Lankan, Contemporary",Bib,££ · A moderate spend,0,0,,"61 Rupert Street, Soho, London, W1D 7PW, United Kingdom"
Berenjak,Persian,Bib,££ · A moderate spend,4.3,30,22,"27 Romilly Street, Soho, London, W1D 5AL, United Kingdom"
Hoppers,"South Indian, Sri Lankan",Bib,££ · A moderate spend,4.4,137,19,"49 Frith Street, Soho, London, W1D 4SG, United Kingdom"
The Barbary,"North African, Mediterranean Cuisine",Bib,££ · A moderate spend,4.8,107,26,"16 Neal’s Yard, Bloomsbury, London, WC2H 9DP, United Kingdom"
Bao,Taiwanese,Bib,£ · On a budget,4.1,211,20,"53 Lexington Street, Soho, London, W1F 9AS, United Kingdom"
Imad's Syrian Kitchen,Middle Eastern,Bib,££ · A moderate spend,4.6,12,,"2.14-2.16 Kingly Court, Carnaby Street, Soho, London, W1B 5PW, United Kingdom"
Plaza Khao Gaeng,Thai,Bib,£ · On a budget,4.5,6,,"Arcade Food Hall, 103-105 New Oxford Street, Bloomsbury, London, WC1A 1DB, United Kingdom"
Evernight,"Japanese, Izakaya",Bib,££ · A moderate spend,0,0,,"Unit 1A, 3 Ravine Way Embassy Gardens, Wandsworth, London, SW11 7BH, United Kingdom"
pahli hill,Indian,Bib,££ · A moderate spend,0,0,,"70-81 Mortimer Street, Regent’s Park and Marylebone, London, W1W 7SJ, United Kingdom"
Padella,Italian,Bib,££ · A moderate spend,4.5,294,40,"6 Southwark Street, Borough Market, Southwark, London, SE1 1TQ, United Kingdom"
Brutto,Italian,Bib,££ · A moderate spend,1,1,,"35-37 Greenhill Rents, Clerkenwell, London, EC1M 6BN, United Kingdom"
José,Spanish,Bib,££ · A moderate spend,4.5,98,13,"104 Bermondsey Street, Southwark, London, SE1 3UB, United Kingdom"
Legare,Italian,Bib,££ · A moderate spend,5,7,,"Cardamom Building, 31G Shad Thames, Southwark, London, SE1 2YR, United Kingdom"
Plaquemine Lock,"Creole, Cajun",Bib,££ · A moderate spend,4,3,,"139 Graham Street, Islington, London, N1 8LB, United Kingdom"
Gunpowder Spitalfields,Indian,Bib,££ · A moderate spend,4.4,65,15,"11 White's Row, Tower Hamlets, London, E1 7NF, United Kingdom"
manteca,Italian Contemporary,Bib,££ · A moderate spend,4.3,15,,"49-51 Curtain Road, Shoreditch, London, EC2A 3PT, United Kingdom"
St. JOHN Bread and Wine,Traditional British,Bib,££ · A moderate spend,4.2,145,14,"94-96 Commercial Street, Tower Hamlets, London, E1 6LZ, United Kingdom"
Popolo,Mediterranean Cuisine,Bib,££ · A moderate spend,4.6,12,,"26 Rivington Street, Shoreditch, London, EC2A 3DU, United Kingdom"
Upstairs (at Trinity),Modern British,Bib,££ · A moderate spend,3,1,,"4 The Polygon, Lambeth, London, SW4 0JG, United Kingdom"
Smokestak,"Meats and Grills, Barbecue",Bib,££ · A moderate spend,4.4,45,10,"35 Sclater Street, Tower Hamlets, London, E1 6LB, United Kingdom"
Kateh,Persian,Bib,££ · A moderate spend,4,30,1,"5 Warwick Place, Bayswater and Maida Vale, London, W9 2PX, United Kingdom"
Hereford Road,"Traditional British, Classic Cuisine",Bib,££ · A moderate spend,4,59,2,"3 Hereford Road, Bayswater and Maida Vale, London, W2 4AB, United Kingdom"
Kudu,South African,Bib,££ · A moderate spend,4.8,5,,"119 Queen's Road, Southwark, London, SE15 2EZ, United Kingdom"
Empire Empire,Indian,Bib,££ · A moderate spend,0,0,,"16 All Saints Road, North Kensington, London, W11 1HH, United Kingdom"
The Pelican,Traditional Cuisine,Bib,££ · A moderate spend,0,0,,"45 All Saints Road, Notting Hill, London, W11 1HE, United Kingdom"
Westerns Laundry,Modern British,Bib,££ · A moderate spend,4.5,8,,"34 Drayton Park, Holloway, London, N5 1PB, United Kingdom"
Primeur,Modern British,Bib,££ · A moderate spend,4.3,12,,"116 Petherton Road, Canonbury, London, N5 2RT, United Kingdom"
Farang,Thai,Bib,££ · A moderate spend,5,1,,"72 Highbury Park, Highbury, London, N5 2XE, United Kingdom"
Les 2 Garçons,French,Bib,££ · A moderate spend,0,0,,"14 Middle Lane, Crouch End, Haringey, London, N8 8PL, United Kingdom"
Provender,French,Bib,££ · A moderate spend,4.5,2,,"17 High Street, Redbridge, London, E11 2AA, United Kingdom"
Dastaan,Indian,Bib,££ · A moderate spend,5,2,,"447 Kingston Road, Ewell, KT19 0DB, United Kingdom"
