Name,Michelin_Distinction,Review_Date,Review_Rating,Processed_Review
Alain Ducasse at The Dorchester,3,2024-02-02,3,husband dinner alain ducasse close short trip london disrespect alain ducasse second choice found clare smyth restaurant booked experience alain ducasse service top notch food artfully executed palatable taste felt way french laundry yountville ca kashiwaya osaka japan unfortunately always great meal star michelin restaurant st course favorite entire tasting menu lovely scallop dish topped kristal caviar beurre balance sauce perfect bite nd course cauliflower hazelnut dish created seasonal ingredient tasted mid rd course lobster slightly overcooked th course turbot perfectly prepared delicious say barely tasted sea urchin th course venison also perfectly prepared delicious point nothing really blew away everything tasted good amazing next course dessert course expected exciting th course course included type cheese one particularly pungent enjoy cheese find unable appreciate stinky cheese th course final course green apple sorbet sort sorry put simply tart bad since celebrating anniversary chef sent u baba au rhum kind alain ducasse culinary legend really wanted like food sorry say tasting menu fun
Alain Ducasse at The Dorchester,3,2024-01-03,1,accommodating care want money flew london arrived sick severe motion sickness dehydrated called cancel reservation since sick told end going would throw care health charged pound cancelling showed thrown restaurant care
Alain Ducasse at The Dorchester,3,2023-12-01,5,first michelin star experience london wanted make sure picked one longest sat someone greeted u right away took minute anyone come back hiccup whole evening food presentation flavor excellent one restaurant need check list definitely give try able score reservation
Alain Ducasse at The Dorchester,3,2023-10-09,3,difficult three star michelin restaurant expectation high one spends thousand dollar thousand pound experience heavenly food food good service good mind blowing stretch imagination everyone disappointed staff courteous role wearing black suit white napkin seen possible white lint black suit always seen different colored napkin available time one wine glass different others thought odd little sloppy good planning menu option anyone allergy food seem citrus flavor theme throughout big citrus fan personally problem one dish feature small bit sardine add variety flavor seemed poorly executed spread evenly give full consistent taste one bite none another bite sardine tasted another perfect steak dish flavor even little salt would helped enjoyed cream came caviar scallop lobster dish dish memorable would come back many good option available
Alain Ducasse at The Dorchester,3,2023-09-14,5,dining alain ducasse establishment always transcendent experience restaurant exception attention detail palpable moment walk ambiance luxurious welcoming menu symphony flavor dish showcasing ducasse commitment culinary excellence staff impeccable service ensuring evening flawless special mention sommelier whose wine pairing elevated course perfection meal journey highly recommended seeking unparalleled dining experience
Alain Ducasse at The Dorchester,3,2023-07-20,5,waiter beyond helpful communicative waiter wonderful asked kitchen run brought u back kitchen meet chef food start end lobster dish absolute best scallop dish also phenomenal husband jokingly told waiter second best scallop ever sure husband said rest assured best scallop ambience nice open close table privacy conversation also liked offered wine half bottle often full bottle much excellent evening
Alain Ducasse at The Dorchester,3,2023-04-15,1,called hotel jw marriott told could come one white female host saw asian face told wait could check took go inside came tell seat available told check chinese restaurant next door asian avoid racist restaurant
Alain Ducasse at The Dorchester,3,2022-08-16,5,picture word experience justice name alain ducasse guarantee food perfection indeed thought going enjoy three course lunch maybe bread got sample many lovely surprise along way richly flavorful canape exquisite amuse bouche post dessert treat leaf thin chocolate pastry alone would justify revisit enjoyed precise perfected flavor sour savory sweet included glass red white wine lovely touch surely contributed ascent culinary heaven tried loved many bread butter reached new peak delightful bread trolley incredible lemony whipped curd fluffy homemade butter needle say lunch delicious soft boiled egg radish chicken jus best ever eat meticulously arranged harmony texture appetizing acidity homemade agnolotti filled burst unidentifiably otherworldly savory flavor mom thought fillet lemon sole sweetcorn life changing knew corn could taste good chocolate hazelnut praline caramel dessert glittering standard dessert held flawless marriage texture temperature nuttiness filled tastebud overwhelming freshness sweetness bringing best ingredient never loved dessert think thing come close second serving beyond food made experience today magical service minute ushered table every detail painstakingly thought choreography meal cleanly executed every person made u feel comfortable truly taken care hospitality alone alain ducasse unforgettable unparalleled literally run caption space best dining experience date everything fine dining dined august
Alain Ducasse at The Dorchester,3,2022-03-25,5,alain ducasse restaurant never disappoint standard top level three star experience dorchester relaxed paris restaurant nice dim quiet interior helpful staff treat great price extensive drink menu knowledgeable sommelier started gin martini wine meal obviously elevated star first dish jerusalem artichoke amazing trio cauliflower inspired new build surprisingly refreshing dessert enjoyed decadent meal need heavy sweet sweet tooth worry give plenty chocolate nit picky hyper hyper critical wish later dish packed punch wish beef seared bit pretty minor thing perfect place birthday anniversary
CORE by Clare Smyth,3,2024-04-26,5,honestly one memorable amazing meal star michelin restaurant chef consistently present staff passion empathy say hi guest making menu financially accessible people considering status food genuine pleasure serviced waiting staff chef clare smyth major reason visit staff warmth professionalism another level service genuinely broke mind way treated ordered classic menu date seasonal spring menu also ordered bottle wine overall say enough amazing thing experience
