Name,Michelin_Distinction,Review_Date,Review_Rating,Review_Text
Alain Ducasse at The Dorchester,3,2-Feb-24,3,"My husband and I had dinner at Alain Ducasse to close out our short trip in London. No disrespect, but Alain Ducasse was our second choice after we found out that Clare Smyth's restaurant was booked up.

For our experience at Alain Ducasse, the service was top-notch. The food was artfully executed but not palatable to our taste. I felt the same way at The French Laundry (Yountville, CA) and Kashiwaya (Osaka, Japan). Unfortunately, you don't always have a great meal at a 3-star Michelin restaurant.

1st course: This was my favorite of the entire tasting menu. A lovely scallop dish topped with Kristal caviar and beurre balance sauce was the perfect bite.

2nd course: A cauliflower-hazelnut dish created with seasonal ingredients but just tasted very mid.

3rd course: Lobster was slightly overcooked.

4th course: Turbot was perfectly prepared. It was delicious, but I have to say I barely tasted the sea urchin.

5th course: Venison, also perfectly prepared and delicious.

At this point, nothing really blew me away. Everything tasted good but not amazing.

The next 2 courses were dessert courses and, as expected, were not exciting.

6th course: This course included 3 types of cheeses, one being particularly pungent. While I do enjoy some cheeses, I find myself unable to appreciate stinky cheese.

7th course: The final course was a green apple sorbet of sorts, sorry to put it so simply. It was very, very tart, but not bad.

Since we were celebrating an anniversary, the chef sent us a baba au rhum, which was very kind of him/her.

Alain Ducasse is such a culinary legend, and I really wanted to like his food, but I just didn't. I'm very sorry to say this tasting menu was not very fun."
Alain Ducasse at The Dorchester,3,3-Jan-24,1,"They are not accommodating. They don't care , they just want your money. I flew in from London and I arrived sick, I had severe motion sickness and dehydrated. I called to cancel my reservation since I was so sick and told them if I end up going there, I would throw up. They didn't care about my health. They charged me 500 pounds for cancelling. I should have showed up and just thrown up at the restaurant!! They don't care about you at all!!"
Alain Ducasse at The Dorchester,3,1-Dec-23,5,This was my first 3 Michelin star experience in London and I wanted to make sure I picked one that had been there the longest. When we sat down someone greeted us right away and then it took about 10 minutes for anyone to come back over. That was the only hiccup during the whole evening but all the food with the presentation and flavor was excellent. It is one of those restaurants that you need to check off the list. Definitely give it a try if your able to score a reservation.
Alain Ducasse at The Dorchester,3,9-Oct-23,3,"Very difficult! A three star Michelin restaurant. Expectations are high. One spends a few thousand dollars or a few thousand pounds for not only the experience but heavenly food. While the food was good and the service was good...it was not mind blowing by any stretch of the imagination. Everyone was disappointed.

The staff was courteous and did their roles. I was wearing a black suit, they only had white napkins which I have not seen before. Possible white lint on a black suit is why I always have seen different colored napkins available. There were times where one wine glass was different from the others. Thought that was odd. A little sloppy.

They were very good at planning menu options for anyone with allergies.

The food did seem to have an over citrus flavor theme throughout. Not a big citrus fan. So I personally had a problem. There was one dish that features a small bit of sardines to add variety of flavor. Seemed very poorly executed. Was not spread evenly to give the full consistent taste. One bite had none. Another bite that sardine is all I tasted and another was perfect. The steak dish had no flavor at all. Even a little salt would have helped.

We enjoyed the cream that came with the caviar, scallop and the lobster dish the most. Most of the dishes were not memorable.

I would not come back here. Once again there are so many good options available."
Alain Ducasse at The Dorchester,3,14-Sep-23,5,"Dining at an Alain Ducasse establishment is always a transcendent experience, and this restaurant was no exception. The attention to detail is palpable from the moment you walk in -- the ambiance is both luxurious and welcoming. The menu is a symphony of flavors, each dish showcasing Ducasse's commitment to culinary excellence. The staff was impeccable in their service, ensuring our evening was flawless. A special mention to the sommelier, whose wine pairings elevated each course to perfection. This is more than just a meal, it's a journey. Highly recommended for those seeking an unparalleled dining experience."
Alain Ducasse at The Dorchester,3,20-Jul-23,5,"The waiters are beyond helpful and communicative. Our waiter was so wonderful that when I asked how the kitchens were run, he brought us back to the kitchens to meet the chef.

As for the food, it starts and ends with the lobster dish. It was the absolute best. The scallop dish was also phenomenal. My husband jokingly told the waiter it was the second best scallop he'd ever had... Not sure why my husband said that, but rest assured, it was the best scallop.

The ambience was nice and open so you were not close to any other tables, and had privacy in conversation.

We also liked that they offered wine in half bottles, as often a full bottle is too much.

Excellent evening."
Alain Ducasse at The Dorchester,3,15-Apr-23,1,"I called from my hotel JW Marriott and was told that I could come by. One of the 3 all-white female hosts saw my Asian face told me to wait so that she could check. She took a while to go inside and came out to tell me that there was no seat available and told me to check with the Chinese restaurant next door!

If you are an Asian, you should avoid this racist restaurant!"
Alain Ducasse at The Dorchester,3,16-Aug-22,5,"In pictures and in words, I cannot do this experience justice.

The name Alain Ducasse guarantees that the food will be perfection (and indeed it was). We thought we were going to enjoy a three course lunch and maybe some bread, but we got to sample so many lovely surprises along the way! From the richly flavorful canapes to an exquisite amuse bouche to the post-dessert treats (the leaf-thin chocolate pastries alone would justify a revisit) we enjoyed the most precise, perfected flavors from sour to savory to sweet. The (included!) glasses of red and white wine were a lovely touch that surely contributed to our ascent to culinary heaven.

We've tried and loved many a bread-and-butter but we've reached a new peak with the delightful bread trolley, an incredible (lemony?) whipped curd and fluffy homemade butter.

And needless to say, the lunch itself was delicious. My soft boiled egg with radish in chicken jus was the best I'll ever eat, a meticulously arranged harmony of textures and appetizing acidity. The homemade agnolotti was filled with bursts of unidentifiably otherworldly savory flavor. My mom thought her fillet of lemon sole with sweetcorn was life-changing - who knew corn could taste so good!?

My chocolate / hazelnut praline / caramel dessert is the glittering standard to which all desserts should be held. A flawless marriage of textures, temperatures, and nuttiness that filled my tastebuds with overwhelming freshness (not sweetness), bringing out the best of each of its ingredients. I have never loved a dessert more and I think the only thing that will come close is a second serving :-)

Above and beyond the food itself, what made our experience today so magical was the service. From the minute we were ushered to our table, every detail was painstakingly thought through and the choreography of the meal cleanly executed; every person made us feel so comfortable and truly taken care of. For the hospitality alone, Alain Ducasse is unforgettable and unparalleled.

I've literally run out of caption space but this has been our best dining experience to date: this is everything fine dining should be.

Dined: August 25, 2021"
Alain Ducasse at The Dorchester,3,25-Mar-22,5,"Alain Ducasse restaurants never disappoint. They have a standard that is top level. The three Star experience at the dorchester is more relaxed than the paris restaurants which is nice. Dim quiet interior. Helpful staff. They treat you great. As they should for the price. Extensive drink menu and knowledgeable sommelier. Started with a gin martini and then to wine. The meal is obviously very elevated. My stars where the first few dishes. The Jerusalem artichoke was amazing. And the trio of cauliflower was inspired. The new builds to a surprisingly refreshing dessert. I enjoyed that. After such a decadent meal I don't need a heavy sweet. But, if you have a sweet tooth don't worry they give you plenty of chocolate. If I am being nit picky and hyper hyper critical, I wish the later dishes packed more of a punch and I wish the beef was seared a bit more. That is a pretty minor thing. Perfect place for a birthday or anniversary."
CORE by Clare Smyth,3,26-Apr-24,5,"Honestly, this is one of my most memorable and amazing meals that I've had. A 3 star Michelin restaurant with a chef whom is consistently present with her staff and has the passion and empathy to say hi to her guests while making her menu financially accessible to more people considering the status of her food.

It was a genuine pleasure to be serviced by the waiting staff and chefs. Clare Smyth is a major reason to visit, but her staff and their warmth and professionalism is on another level of service. Genuinely, it broke my mind the way we were treated.

I ordered the classic menu while my date had the seasonal spring menu. We also ordered a bottle of wine!

Overall, cannot say enough amazing things about my experience here."
